
第１表,,,,刑法犯　罪種別　認知・検挙件数・検挙人員　対前年比較,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,認知件数,認知件数,認知件数,認知件数,検挙件数,検挙件数,検挙件数,検挙件数,検挙率,検挙率,検挙率,検挙人員,検挙人員,検挙人員,検挙人員,"検挙人員
うち)少年","検挙人員
うち)少年","検挙人員
うち)少年","検挙人員
うち)少年",
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,認知件数,認知件数,認知件数,認知件数,検挙件数,検挙件数,検挙件数,検挙件数,検挙人員,検挙人員,検挙人員,検挙人員,検挙率,検挙率,検挙率
,都道府県,"2021年
1～12月","2020年
1～12月",増減,増減率(％),"2021年
1～12月","2020年
1～12月",増減,増減率(％),"2021年
1～12月","2020年
1～12月",増減,増減率(％）,"2021年
1～12月","2020年
1～12月",増減ポイント
総数,,297 ,401 ,-104 ,-25.9 ,296 ,405 ,-109 ,-26.9 ,426 ,543 ,-117 ,-21.5 ,99.7 ,101.0 ,-1.3 
北海道,計,9 ,15 ,-6 ,-40.0 ,8 ,17 ,-9 ,-52.9 ,8 ,16 ,-8 ,-50.0 ,88.9 ,113.3 ,-24.4 
北海道,札幌方面,6 ,12 ,-6 ,-50.0 ,5 ,12 ,-7 ,-58.3 ,4 ,9 ,-5 ,-55.6 ,83.3 ,100.0 ,-16.7 
北海道,函館方面,0 ,1 ,-1 ,-100.0 ,0 ,2 ,-2 ,-100.0 ,0 ,3 ,-3 ,-100.0 ,0.0 ,200.0 ,-200.0 
北海道,旭川方面,1 ,1 ,0 ,0.0 ,1 ,1 ,0 ,0.0 ,1 ,2 ,-1 ,-50.0 ,100.0 ,100.0 ,0.0 
北海道,釧路方面,2 ,0 ,2 ,0.0 ,2 ,0 ,2 ,0.0 ,3 ,0 ,3 ,0.0 ,100.0 ,0.0 ,100.0 
北海道,北見方面,0 ,1 ,-1 ,-100.0 ,0 ,2 ,-2 ,-100.0 ,0 ,2 ,-2 ,-100.0 ,0.0 ,200.0 ,-200.0 
東北,計,11 ,11 ,0 ,0.0 ,9 ,12 ,-3 ,-25.0 ,11 ,21 ,-10 ,-47.6 ,81.8 ,109.1 ,-27.3 
東北,青森県,0 ,1 ,-1 ,-100.0 ,0 ,1 ,-1 ,-100.0 ,1 ,2 ,-1 ,-50.0 ,0.0 ,100.0 ,-100.0 
東北,岩手県,2 ,1 ,1 ,100.0 ,1 ,1 ,0 ,0.0 ,1 ,1 ,0 ,0.0 ,50.0 ,100.0 ,-50.0 
東北,宮城県,4 ,4 ,0 ,0.0 ,3 ,5 ,-2 ,-40.0 ,4 ,11 ,-7 ,-63.6 ,75.0 ,125.0 ,-50.0 
東北,秋田県,1 ,0 ,1 ,0.0 ,1 ,0 ,1 ,0.0 ,1 ,0 ,1 ,0.0 ,100.0 ,0.0 ,100.0 
東北,山形県,0 ,3 ,-3 ,-100.0 ,0 ,3 ,-3 ,-100.0 ,0 ,4 ,-4 ,-100.0 ,0.0 ,100.0 ,-100.0 
東北,福島県,4 ,2 ,2 ,100.0 ,4 ,2 ,2 ,100.0 ,4 ,3 ,1 ,33.3 ,100.0 ,100.0 ,0.0 
東京都,,57 ,64 ,-7 ,-10.9 ,56 ,66 ,-10 ,-15.2 ,79 ,125 ,-46 ,-36.8 ,98.2 ,103.1 ,-4.9 
関東,計,84 ,152 ,-68 ,-44.7 ,83 ,142 ,-59 ,-41.5 ,120 ,171 ,-51 ,-29.8 ,98.8 ,93.4 ,5.4 
関東,茨城県,10 ,13 ,-3 ,-23.1 ,9 ,11 ,-2 ,-18.2 ,17 ,18 ,-1 ,-5.6 ,90.0 ,84.6 ,5.4 
関東,栃木県,3 ,5 ,-2 ,-40.0 ,2 ,6 ,-4 ,-66.7 ,4 ,12 ,-8 ,-66.7 ,66.7 ,120.0 ,-53.3 
関東,群馬県,2 ,7 ,-5 ,-71.4 ,2 ,8 ,-6 ,-75.0 ,16 ,9 ,7 ,77.8 ,100.0 ,114.3 ,-14.3 
関東,埼玉県,16 ,32 ,-16 ,-50.0 ,16 ,29 ,-13 ,-44.8 ,13 ,27 ,-14 ,-51.9 ,100.0 ,90.6 ,9.4 
関東,千葉県,17 ,34 ,-17 ,-50.0 ,18 ,24 ,-6 ,-25.0 ,20 ,29 ,-9 ,-31.0 ,105.9 ,70.6 ,35.3 
関東,神奈川県,24 ,38 ,-14 ,-36.8 ,25 ,38 ,-13 ,-34.2 ,27 ,49 ,-22 ,-44.9 ,104.2 ,100.0 ,4.2 
関東,新潟県,3 ,2 ,1 ,50.0 ,3 ,2 ,1 ,50.0 ,3 ,3 ,0 ,0.0 ,100.0 ,100.0 ,0.0 
関東,山梨県,2 ,3 ,-1 ,-33.3 ,3 ,3 ,0 ,0.0 ,10 ,3 ,7 ,233.3 ,150.0 ,100.0 ,50.0 
関東,長野県,4 ,2 ,2 ,100.0 ,1 ,3 ,-2 ,-66.7 ,3 ,7 ,-4 ,-57.1 ,25.0 ,150.0 ,-125.0 
関東,静岡県,3 ,16 ,-13 ,-81.3 ,4 ,18 ,-14 ,-77.8 ,7 ,14 ,-7 ,-50.0 ,133.3 ,112.5 ,20.8 
中部,計,33 ,45 ,-12 ,-26.7 ,40 ,41 ,-1 ,-2.4 ,44 ,43 ,1 ,2.3 ,121.2 ,91.1 ,30.1 
中部,富山県,0 ,4 ,-4 ,-100.0 ,1 ,3 ,-2 ,-66.7 ,0 ,3 ,-3 ,-100.0 ,0.0 ,75.0 ,-75.0 
中部,石川県,2 ,2 ,0 ,0.0 ,2 ,1 ,1 ,100.0 ,5 ,1 ,4 ,400.0 ,100.0 ,50.0 ,50.0 
中部,福井県,1 ,1 ,0 ,0.0 ,1 ,1 ,0 ,0.0 ,1 ,1 ,0 ,0.0 ,100.0 ,100.0 ,0.0 
中部,岐阜県,3 ,6 ,-3 ,-50.0 ,4 ,6 ,-2 ,-33.3 ,3 ,4 ,-1 ,-25.0 ,133.3 ,100.0 ,33.3 
中部,愛知県,22 ,28 ,-6 ,-21.4 ,26 ,22 ,4 ,18.2 ,31 ,25 ,6 ,24.0 ,118.2 ,78.6 ,39.6 
中部,三重県,5 ,4 ,1 ,25.0 ,6 ,8 ,-2 ,-25.0 ,4 ,9 ,-5 ,-55.6 ,120.0 ,200.0 ,-80.0 
近畿,計,45 ,64 ,-19 ,-29.7 ,41 ,74 ,-33 ,-44.6 ,90 ,114 ,-24 ,-21.1 ,91.1 ,115.6 ,-24.5 
近畿,滋賀県,1 ,1 ,0 ,0.0 ,1 ,3 ,-2 ,-66.7 ,2 ,4 ,-2 ,-50.0 ,100.0 ,300.0 ,-200.0 
近畿,京都府,8 ,11 ,-3 ,-27.3 ,7 ,12 ,-5 ,-41.7 ,15 ,24 ,-9 ,-37.5 ,87.5 ,109.1 ,-21.6 
近畿,大阪府,23 ,38 ,-15 ,-39.5 ,19 ,40 ,-21 ,-52.5 ,46 ,58 ,-12 ,-20.7 ,82.6 ,105.3 ,-22.7 
近畿,兵庫県,8 ,11 ,-3 ,-27.3 ,9 ,14 ,-5 ,-35.7 ,22 ,16 ,6 ,37.5 ,112.5 ,127.3 ,-14.8 
近畿,奈良県,3 ,3 ,0 ,0.0 ,3 ,3 ,0 ,0.0 ,3 ,6 ,-3 ,-50.0 ,100.0 ,100.0 ,0.0 
近畿,和歌山県,2 ,0 ,2 ,0.0 ,2 ,2 ,0 ,0.0 ,2 ,6 ,-4 ,-66.7 ,100.0 ,0.0 ,100.0 
中国,計,17 ,10 ,7 ,70.0 ,17 ,13 ,4 ,30.8 ,18 ,19 ,-1 ,-5.3 ,100.0 ,130.0 ,-30.0 
中国,鳥取県,2 ,2 ,0 ,0.0 ,2 ,2 ,0 ,0.0 ,1 ,3 ,-2 ,-66.7 ,100.0 ,100.0 ,0.0 
中国,島根県,2 ,0 ,2 ,0.0 ,2 ,0 ,2 ,0.0 ,2 ,0 ,2 ,0.0 ,100.0 ,0.0 ,100.0 
中国,岡山県,5 ,2 ,3 ,150.0 ,5 ,2 ,3 ,150.0 ,8 ,2 ,6 ,300.0 ,100.0 ,100.0 ,0.0 
中国,広島県,6 ,5 ,1 ,20.0 ,6 ,7 ,-1 ,-14.3 ,5 ,12 ,-7 ,-58.3 ,100.0 ,140.0 ,-40.0 
中国,山口県,2 ,1 ,1 ,100.0 ,2 ,2 ,0 ,0.0 ,2 ,2 ,0 ,0.0 ,100.0 ,200.0 ,-100.0 
四国,計,9 ,6 ,3 ,50.0 ,10 ,6 ,4 ,66.7 ,13 ,5 ,8 ,160.0 ,111.1 ,100.0 ,11.1 
四国,徳島県,0 ,1 ,-1 ,-100.0 ,0 ,1 ,-1 ,-100.0 ,1 ,0 ,1 ,0.0 ,0.0 ,100.0 ,-100.0 
四国,香川県,3 ,4 ,-1 ,-25.0 ,3 ,5 ,-2 ,-40.0 ,4 ,5 ,-1 ,-20.0 ,100.0 ,125.0 ,-25.0 
四国,愛媛県,4 ,0 ,4 ,0.0 ,4 ,0 ,4 ,0.0 ,2 ,0 ,2 ,0.0 ,100.0 ,0.0 ,100.0 
四国,高知県,2 ,1 ,1 ,100.0 ,3 ,0 ,3 ,0.0 ,6 ,0 ,6 ,0.0 ,150.0 ,0.0 ,150.0 
九州,計,32 ,34 ,-2 ,-5.9 ,32 ,34 ,-2 ,-5.9 ,43 ,29 ,14 ,48.3 ,100.0 ,100.0 ,0.0 
九州,福岡県,16 ,20 ,-4 ,-20.0 ,14 ,22 ,-8 ,-36.4 ,16 ,18 ,-2 ,-11.1 ,87.5 ,110.0 ,-22.5 
九州,佐賀県,2 ,0 ,2 ,0.0 ,2 ,0 ,2 ,0.0 ,2 ,0 ,2 ,0.0 ,100.0 ,0.0 ,100.0 
九州,長崎県,4 ,0 ,4 ,0.0 ,4 ,0 ,4 ,0.0 ,6 ,0 ,6 ,0.0 ,100.0 ,0.0 ,100.0 
九州,熊本県,3 ,3 ,0 ,0.0 ,4 ,2 ,2 ,100.0 ,4 ,2 ,2 ,100.0 ,133.3 ,66.7 ,66.6 
九州,大分県,1 ,3 ,-2 ,-66.7 ,1 ,3 ,-2 ,-66.7 ,7 ,2 ,5 ,250.0 ,100.0 ,100.0 ,0.0 
九州,宮崎県,2 ,2 ,0 ,0.0 ,3 ,1 ,2 ,200.0 ,3 ,0 ,3 ,0.0 ,150.0 ,50.0 ,100.0 
九州,鹿児島県,0 ,2 ,-2 ,-100.0 ,0 ,2 ,-2 ,-100.0 ,0 ,2 ,-2 ,-100.0 ,0.0 ,100.0 ,-100.0 
九州,沖縄県,4 ,4 ,0 ,0.0 ,4 ,4 ,0 ,0.0 ,5 ,5 ,0 ,0.0 ,100.0 ,100.0 ,0.0 
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
第６表,,,重要犯罪・重要窃盗犯　都道府県別　認知・検挙件数・検挙人員　対前年比較　（放火）,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,認知件数,認知件数,認知件数,認知件数,検挙件数,検挙件数,検挙件数,検挙件数,検挙人員,検挙人員,検挙人員,検挙人員,検挙率,検挙率,検挙率
,都道府県,"2021年
1～12月","2020年
1～12月",増減,増減率(％),"2021年
1～12月","2020年
1～12月",増減,増減率(％),"2021年
1～12月","2020年
1～12月",増減,増減率(％）,"2021年
1～12月","2020年
1～12月",増減ポイント
総数,,749 ,786 ,-37 ,-4.7 ,664 ,700 ,-36 ,-5.1 ,534 ,582 ,-48 ,-8.2 ,88.7 ,89.1 ,-0.4 
北海道,計,24 ,24 ,0 ,0.0 ,24 ,23 ,1 ,4.3 ,21 ,15 ,6 ,40.0 ,100.0 ,95.8 ,4.2 
北海道,札幌方面,15 ,12 ,3 ,25.0 ,15 ,10 ,5 ,50.0 ,11 ,9 ,2 ,22.2 ,100.0 ,83.3 ,16.7 
北海道,函館方面,2 ,1 ,1 ,100.0 ,2 ,1 ,1 ,100.0 ,2 ,1 ,1 ,100.0 ,100.0 ,100.0 ,0.0 
北海道,旭川方面,3 ,1 ,2 ,200.0 ,3 ,1 ,2 ,200.0 ,3 ,2 ,1 ,50.0 ,100.0 ,100.0 ,0.0 
北海道,釧路方面,1 ,9 ,-8 ,-88.9 ,1 ,10 ,-9 ,-90.0 ,2 ,2 ,0 ,0.0 ,100.0 ,111.1 ,-11.1 
北海道,北見方面,3 ,1 ,2 ,200.0 ,3 ,1 ,2 ,200.0 ,3 ,1 ,2 ,200.0 ,100.0 ,100.0 ,0.0 
東北,計,61 ,76 ,-15 ,-19.7 ,61 ,72 ,-11 ,-15.3 ,38 ,56 ,-18 ,-32.1 ,100.0 ,94.7 ,5.3 
東北,青森県,15 ,12 ,3 ,25.0 ,14 ,12 ,2 ,16.7 ,7 ,8 ,-1 ,-12.5 ,93.3 ,100.0 ,-6.7 
東北,岩手県,7 ,14 ,-7 ,-50.0 ,6 ,13 ,-7 ,-53.8 ,5 ,10 ,-5 ,-50.0 ,85.7 ,92.9 ,-7.2 
東北,宮城県,15 ,18 ,-3 ,-16.7 ,16 ,15 ,1 ,6.7 ,12 ,13 ,-1 ,-7.7 ,106.7 ,83.3 ,23.4 
東北,秋田県,2 ,3 ,-1 ,-33.3 ,3 ,3 ,0 ,0.0 ,4 ,3 ,1 ,33.3 ,150.0 ,100.0 ,50.0 
東北,山形県,9 ,17 ,-8 ,-47.1 ,9 ,17 ,-8 ,-47.1 ,1 ,12 ,-11 ,-91.7 ,100.0 ,100.0 ,0.0 
東北,福島県,13 ,12 ,1 ,8.3 ,13 ,12 ,1 ,8.3 ,9 ,10 ,-1 ,-10.0 ,100.0 ,100.0 ,0.0 
東京都,,53 ,70 ,-17 ,-24.3 ,57 ,66 ,-9 ,-13.6 ,47 ,58 ,-11 ,-19.0 ,107.5 ,94.3 ,13.2 
関東,計,169 ,190 ,-21 ,-11.1 ,149 ,173 ,-24 ,-13.9 ,123 ,159 ,-36 ,-22.6 ,88.2 ,91.1 ,-2.9 
関東,茨城県,14 ,21 ,-7 ,-33.3 ,10 ,19 ,-9 ,-47.4 ,10 ,21 ,-11 ,-52.4 ,71.4 ,90.5 ,-19.1 
関東,栃木県,17 ,21 ,-4 ,-19.0 ,13 ,20 ,-7 ,-35.0 ,10 ,18 ,-8 ,-44.4 ,76.5 ,95.2 ,-18.7 
関東,群馬県,7 ,12 ,-5 ,-41.7 ,7 ,12 ,-5 ,-41.7 ,5 ,12 ,-7 ,-58.3 ,100.0 ,100.0 ,0.0 
関東,埼玉県,43 ,32 ,11 ,34.4 ,42 ,36 ,6 ,16.7 ,36 ,33 ,3 ,9.1 ,97.7 ,112.5 ,-14.8 
関東,千葉県,27 ,21 ,6 ,28.6 ,18 ,19 ,-1 ,-5.3 ,13 ,18 ,-5 ,-27.8 ,66.7 ,90.5 ,-23.8 
関東,神奈川県,27 ,30 ,-3 ,-10.0 ,30 ,24 ,6 ,25.0 ,21 ,20 ,1 ,5.0 ,111.1 ,80.0 ,31.1 
関東,新潟県,8 ,14 ,-6 ,-42.9 ,7 ,12 ,-5 ,-41.7 ,7 ,10 ,-3 ,-30.0 ,87.5 ,85.7 ,1.8 
関東,山梨県,4 ,5 ,-1 ,-20.0 ,2 ,5 ,-3 ,-60.0 ,1 ,5 ,-4 ,-80.0 ,50.0 ,100.0 ,-50.0 
関東,長野県,9 ,10 ,-1 ,-10.0 ,7 ,9 ,-2 ,-22.2 ,5 ,7 ,-2 ,-28.6 ,77.8 ,90.0 ,-12.2 
関東,静岡県,13 ,24 ,-11 ,-45.8 ,13 ,17 ,-4 ,-23.5 ,15 ,15 ,0 ,0.0 ,100.0 ,70.8 ,29.2 
中部,計,72 ,82 ,-10 ,-12.2 ,56 ,77 ,-21 ,-27.3 ,46 ,55 ,-9 ,-16.4 ,77.8 ,93.9 ,-16.1 
中部,富山県,4 ,9 ,-5 ,-55.6 ,4 ,9 ,-5 ,-55.6 ,4 ,7 ,-3 ,-42.9 ,100.0 ,100.0 ,0.0 
中部,石川県,3 ,10 ,-7 ,-70.0 ,3 ,10 ,-7 ,-70.0 ,3 ,7 ,-4 ,-57.1 ,100.0 ,100.0 ,0.0 
中部,福井県,2 ,1 ,1 ,100.0 ,2 ,1 ,1 ,100.0 ,2 ,1 ,1 ,100.0 ,100.0 ,100.0 ,0.0 
中部,岐阜県,13 ,8 ,5 ,62.5 ,5 ,6 ,-1 ,-16.7 ,4 ,4 ,0 ,0.0 ,38.5 ,75.0 ,-36.5 
中部,愛知県,42 ,47 ,-5 ,-10.6 ,35 ,45 ,-10 ,-22.2 ,30 ,32 ,-2 ,-6.3 ,83.3 ,95.7 ,-12.4 
中部,三重県,8 ,7 ,1 ,14.3 ,7 ,6 ,1 ,16.7 ,3 ,4 ,-1 ,-25.0 ,87.5 ,85.7 ,1.8 
近畿,計,195 ,182 ,13 ,7.1 ,161 ,135 ,26 ,19.3 ,126 ,124 ,2 ,1.6 ,82.6 ,74.2 ,8.4 
近畿,滋賀県,6 ,12 ,-6 ,-50.0 ,8 ,6 ,2 ,33.3 ,8 ,6 ,2 ,33.3 ,133.3 ,50.0 ,83.3 
近畿,京都府,14 ,17 ,-3 ,-17.6 ,16 ,14 ,2 ,14.3 ,13 ,11 ,2 ,18.2 ,114.3 ,82.4 ,31.9 
近畿,大阪府,130 ,117 ,13 ,11.1 ,98 ,79 ,19 ,24.1 ,73 ,74 ,-1 ,-1.4 ,75.4 ,67.5 ,7.9 
近畿,兵庫県,37 ,31 ,6 ,19.4 ,31 ,29 ,2 ,6.9 ,23 ,26 ,-3 ,-11.5 ,83.8 ,93.5 ,-9.7 
近畿,奈良県,5 ,3 ,2 ,66.7 ,5 ,4 ,1 ,25.0 ,6 ,4 ,2 ,50.0 ,100.0 ,133.3 ,-33.3 
近畿,和歌山県,3 ,2 ,1 ,50.0 ,3 ,3 ,0 ,0.0 ,3 ,3 ,0 ,0.0 ,100.0 ,150.0 ,-50.0 
中国,計,58 ,43 ,15 ,34.9 ,55 ,43 ,12 ,27.9 ,50 ,32 ,18 ,56.3 ,94.8 ,100.0 ,-5.2 
中国,鳥取県,5 ,3 ,2 ,66.7 ,5 ,3 ,2 ,66.7 ,5 ,2 ,3 ,150.0 ,100.0 ,100.0 ,0.0 
中国,島根県,4 ,7 ,-3 ,-42.9 ,4 ,7 ,-3 ,-42.9 ,4 ,7 ,-3 ,-42.9 ,100.0 ,100.0 ,0.0 
中国,岡山県,10 ,6 ,4 ,66.7 ,10 ,6 ,4 ,66.7 ,10 ,4 ,6 ,150.0 ,100.0 ,100.0 ,0.0 
中国,広島県,27 ,18 ,9 ,50.0 ,24 ,18 ,6 ,33.3 ,20 ,15 ,5 ,33.3 ,88.9 ,100.0 ,-11.1 
中国,山口県,12 ,9 ,3 ,33.3 ,12 ,9 ,3 ,33.3 ,11 ,4 ,7 ,175.0 ,100.0 ,100.0 ,0.0 
四国,計,20 ,22 ,-2 ,-9.1 ,22 ,20 ,2 ,10.0 ,19 ,15 ,4 ,26.7 ,110.0 ,90.9 ,19.1 
四国,徳島県,2 ,3 ,-1 ,-33.3 ,2 ,2 ,0 ,0.0 ,2 ,2 ,0 ,0.0 ,100.0 ,66.7 ,33.3 
四国,香川県,10 ,8 ,2 ,25.0 ,10 ,8 ,2 ,25.0 ,6 ,8 ,-2 ,-25.0 ,100.0 ,100.0 ,0.0 
四国,愛媛県,7 ,3 ,4 ,133.3 ,8 ,3 ,5 ,166.7 ,8 ,2 ,6 ,300.0 ,114.3 ,100.0 ,14.3 
四国,高知県,1 ,8 ,-7 ,-87.5 ,2 ,7 ,-5 ,-71.4 ,3 ,3 ,0 ,0.0 ,200.0 ,87.5 ,112.5 
九州,計,97 ,97 ,0 ,0.0 ,79 ,91 ,-12 ,-13.2 ,64 ,68 ,-4 ,-5.9 ,81.4 ,93.8 ,-12.4 
九州,福岡県,42 ,35 ,7 ,20.0 ,27 ,26 ,1 ,3.8 ,17 ,23 ,-6 ,-26.1 ,64.3 ,74.3 ,-10.0 
九州,佐賀県,2 ,7 ,-5 ,-71.4 ,3 ,7 ,-4 ,-57.1 ,3 ,4 ,-1 ,-25.0 ,150.0 ,100.0 ,50.0 
九州,長崎県,9 ,7 ,2 ,28.6 ,7 ,9 ,-2 ,-22.2 ,6 ,4 ,2 ,50.0 ,77.8 ,128.6 ,-50.8 
九州,熊本県,11 ,16 ,-5 ,-31.3 ,10 ,18 ,-8 ,-44.4 ,11 ,12 ,-1 ,-8.3 ,90.9 ,112.5 ,-21.6 
九州,大分県,8 ,4 ,4 ,100.0 ,8 ,3 ,5 ,166.7 ,7 ,2 ,5 ,250.0 ,100.0 ,75.0 ,25.0 
九州,宮崎県,5 ,1 ,4 ,400.0 ,4 ,2 ,2 ,100.0 ,4 ,2 ,2 ,100.0 ,80.0 ,200.0 ,-120.0 
九州,鹿児島県,14 ,12 ,2 ,16.7 ,13 ,13 ,0 ,0.0 ,10 ,11 ,-1 ,-9.1 ,92.9 ,108.3 ,-15.4 
九州,沖縄県,6 ,15 ,-9 ,-60.0 ,7 ,13 ,-6 ,-46.2 ,6 ,10 ,-4 ,-40.0 ,116.7 ,86.7 ,30.0 
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
第６表,,,重要犯罪・重要窃盗犯　都道府県別　認知・検挙件数・検挙人員　対前年比較　（強制性交等）,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,認知件数,認知件数,認知件数,認知件数,検挙件数,検挙件数,検挙件数,検挙件数,検挙人員,検挙人員,検挙人員,検挙人員,検挙率,検挙率,検挙率
,都道府県,"2021年
1～12月","2020年
1～12月",増減,増減率(％),"2021年
1～12月","2020年
1～12月",増減,増減率(％),"2021年
1～12月","2020年
1～12月",増減,増減率(％）,"2021年
1～12月","2020年
1～12月",増減ポイント
総数,,1388 ,1332 ,56 ,4.2 ,1330 ,1297 ,33 ,2.5 ,1251 ,1177 ,74 ,6.3 ,95.8 ,97.4 ,-1.6 
北海道,計,53 ,44 ,9 ,20.5 ,60 ,40 ,20 ,50.0 ,54 ,34 ,20 ,58.8 ,113.2 ,90.9 ,22.3 
北海道,札幌方面,34 ,25 ,9 ,36.0 ,40 ,23 ,17 ,73.9 ,37 ,17 ,20 ,117.6 ,117.6 ,92.0 ,25.6 
北海道,函館方面,1 ,3 ,-2 ,-66.7 ,2 ,2 ,0 ,0.0 ,2 ,2 ,0 ,0.0 ,200.0 ,66.7 ,133.3 
北海道,旭川方面,7 ,4 ,3 ,75.0 ,7 ,4 ,3 ,75.0 ,4 ,4 ,0 ,0.0 ,100.0 ,100.0 ,0.0 
北海道,釧路方面,8 ,7 ,1 ,14.3 ,8 ,6 ,2 ,33.3 ,8 ,6 ,2 ,33.3 ,100.0 ,85.7 ,14.3 
北海道,北見方面,3 ,5 ,-2 ,-40.0 ,3 ,5 ,-2 ,-40.0 ,3 ,5 ,-2 ,-40.0 ,100.0 ,100.0 ,0.0 
東北,計,60 ,62 ,-2 ,-3.2 ,55 ,65 ,-10 ,-15.4 ,56 ,57 ,-1 ,-1.8 ,91.7 ,104.8 ,-13.1 
東北,青森県,8 ,12 ,-4 ,-33.3 ,9 ,11 ,-2 ,-18.2 ,9 ,8 ,1 ,12.5 ,112.5 ,91.7 ,20.8 
東北,岩手県,10 ,12 ,-2 ,-16.7 ,9 ,12 ,-3 ,-25.0 ,9 ,11 ,-2 ,-18.2 ,90.0 ,100.0 ,-10.0 
東北,宮城県,26 ,18 ,8 ,44.4 ,23 ,20 ,3 ,15.0 ,22 ,19 ,3 ,15.8 ,88.5 ,111.1 ,-22.6 
東北,秋田県,4 ,2 ,2 ,100.0 ,1 ,2 ,-1 ,-50.0 ,1 ,2 ,-1 ,-50.0 ,25.0 ,100.0 ,-75.0 
東北,山形県,6 ,13 ,-7 ,-53.8 ,5 ,13 ,-8 ,-61.5 ,6 ,7 ,-1 ,-14.3 ,83.3 ,100.0 ,-16.7 
東北,福島県,6 ,5 ,1 ,20.0 ,8 ,7 ,1 ,14.3 ,9 ,10 ,-1 ,-10.0 ,133.3 ,140.0 ,-6.7 
東京都,,219 ,231 ,-12 ,-5.2 ,216 ,234 ,-18 ,-7.7 ,194 ,214 ,-20 ,-9.3 ,98.6 ,101.3 ,-2.7 
関東,計,329 ,369 ,-40 ,-10.8 ,338 ,351 ,-13 ,-3.7 ,314 ,299 ,15 ,5.0 ,102.7 ,95.1 ,7.6 
関東,茨城県,21 ,33 ,-12 ,-36.4 ,17 ,31 ,-14 ,-45.2 ,17 ,25 ,-8 ,-32.0 ,81.0 ,93.9 ,-12.9 
関東,栃木県,18 ,16 ,2 ,12.5 ,16 ,15 ,1 ,6.7 ,19 ,13 ,6 ,46.2 ,88.9 ,93.8 ,-4.9 
関東,群馬県,15 ,20 ,-5 ,-25.0 ,19 ,21 ,-2 ,-9.5 ,17 ,12 ,5 ,41.7 ,126.7 ,105.0 ,21.7 
関東,埼玉県,69 ,75 ,-6 ,-8.0 ,71 ,74 ,-3 ,-4.1 ,63 ,68 ,-5 ,-7.4 ,102.9 ,98.7 ,4.2 
関東,千葉県,63 ,71 ,-8 ,-11.3 ,73 ,69 ,4 ,5.8 ,57 ,61 ,-4 ,-6.6 ,115.9 ,97.2 ,18.7 
関東,神奈川県,74 ,80 ,-6 ,-7.5 ,72 ,75 ,-3 ,-4.0 ,69 ,61 ,8 ,13.1 ,97.3 ,93.8 ,3.5 
関東,新潟県,17 ,21 ,-4 ,-19.0 ,14 ,18 ,-4 ,-22.2 ,15 ,18 ,-3 ,-16.7 ,82.4 ,85.7 ,-3.3 
関東,山梨県,4 ,6 ,-2 ,-33.3 ,6 ,8 ,-2 ,-25.0 ,5 ,7 ,-2 ,-28.6 ,150.0 ,133.3 ,16.7 
関東,長野県,16 ,8 ,8 ,100.0 ,15 ,7 ,8 ,114.3 ,18 ,7 ,11 ,157.1 ,93.8 ,87.5 ,6.3 
関東,静岡県,32 ,39 ,-7 ,-17.9 ,35 ,33 ,2 ,6.1 ,34 ,27 ,7 ,25.9 ,109.4 ,84.6 ,24.8 
中部,計,159 ,118 ,41 ,34.7 ,149 ,120 ,29 ,24.2 ,149 ,113 ,36 ,31.9 ,93.7 ,101.7 ,-8.0 
中部,富山県,5 ,2 ,3 ,150.0 ,6 ,1 ,5 ,500.0 ,8 ,1 ,7 ,700.0 ,120.0 ,50.0 ,70.0 
中部,石川県,5 ,10 ,-5 ,-50.0 ,6 ,10 ,-4 ,-40.0 ,10 ,5 ,5 ,100.0 ,120.0 ,100.0 ,20.0 
中部,福井県,13 ,8 ,5 ,62.5 ,13 ,8 ,5 ,62.5 ,13 ,7 ,6 ,85.7 ,100.0 ,100.0 ,0.0 
中部,岐阜県,17 ,5 ,12 ,240.0 ,11 ,5 ,6 ,120.0 ,10 ,5 ,5 ,100.0 ,64.7 ,100.0 ,-35.3 
中部,愛知県,96 ,78 ,18 ,23.1 ,91 ,80 ,11 ,13.8 ,89 ,79 ,10 ,12.7 ,94.8 ,102.6 ,-7.8 
中部,三重県,23 ,15 ,8 ,53.3 ,22 ,16 ,6 ,37.5 ,19 ,16 ,3 ,18.8 ,95.7 ,106.7 ,-11.0 
近畿,計,322 ,282 ,40 ,14.2 ,272 ,276 ,-4 ,-1.4 ,259 ,278 ,-19 ,-6.8 ,84.5 ,97.9 ,-13.4 
近畿,滋賀県,25 ,15 ,10 ,66.7 ,18 ,16 ,2 ,12.5 ,10 ,14 ,-4 ,-28.6 ,72.0 ,106.7 ,-34.7 
